,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,sentiment,VIX,TNX,SPY,QQQ,XLK
0,2020-01-02,71.42,72.47,71.16,72.41,146217352.0,AAPL,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,72.41,72.41,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,330.0,334.48,329.17,334.43,2265259.0,ADBE,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,334.43,334.43,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,107.41,107.89,106.18,107.69,1342403.0,ADI,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,107.69,107.69,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,149.88,149.92,147.48,148.45,1577075.0,ADP,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,148.45,148.45,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,200.66,200.81,197.34,198.26,2205496.0,AMGN,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,198.26,198.26,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,93.75,94.9,93.21,94.9,87691460.0,AMZN,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,94.9,94.9,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,27.42,27.69,27.25,27.68,21710820.0,AVGO,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,27.68,27.68,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,2030.59,2039.44,2015.69,2036.66,348596.0,BKNG,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,2036.66,2036.66,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,35.3,35.35,34.99,35.33,21920268.0,CMCSA,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,35.33,35.33,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,268.69,269.16,265.89,266.34,2250899.0,COST,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,266.34,266.34,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,39.96,40.26,39.81,40.26,18451259.0,CSCO,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,40.26,40.26,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,51.66,51.83,51.28,51.43,5426385.0,GILD,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,51.43,51.43,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,66.86,67.87,66.77,67.87,30585700.0,GOOGL,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,67.87,67.87,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,146.91,149.64,146.61,149.63,3284762.0,HON,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,149.63,149.63,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,53.14,53.78,53.12,53.67,20240264.0,INTC,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,53.67,53.67,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,250.63,255.93,250.63,255.51,1349012.0,INTU,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,255.51,255.51,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,198.67,199.28,196.93,199.09,1842630.0,ISRG,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,199.09,199.09,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,47.08,47.32,46.26,46.45,8615645.0,MDLZ,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,46.45,46.45,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,205.16,208.17,204.68,208.16,13280917.0,META,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,208.16,208.16,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,150.4,152.25,149.98,152.15,25472631.0,MSFT,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,152.15,152.15,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,32.61,33.0,32.48,32.98,45997370.0,NFLX,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,32.98,32.98,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,5.942,5.971,5.891,5.971,251352600.0,NVDA,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,5.971,5.971,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,113.0,113.3,111.57,112.13,4284649.0,PEP,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,112.13,112.13,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,108.89,110.62,108.7,110.16,8445936.0,PYPL,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,110.16,110.16,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-02,77.5,78.16,76.66,77.19,9321176.0,QCOM,0,0.0,73.05909162928491,71.0509083707151,0.0,-66.66666666665957,100.0,77.19,77.19,0.0,0.0,0.0,0.0,0.0,0.0
