Model,Metric,Seed 1,Seed 2,Seed 3,Mean,Std
VGG Baseline,Sharpe Ratio,2.045,2.166,2.196,2.136,0.065
VGG Baseline,Total Return (%),45.53,47.95,42.24,45.24,2.34
VGG Baseline,Max Drawdown (%),-10.29,-9.92,-9.63,-9.947,0.27
VGG Baseline,Win Rate (%),62.35,59.66,56.3,59.437,2.475
VGG Baseline,Volatility (%),16.99,17.56,15.26,16.603,0.978
VGG Baseline,Calmar Ratio,4.425,4.833,4.387,4.548,0.202
VGG Baseline,Avg Daily Return (%),0.1578,0.1708,0.1528,0.16,0.008
VGG FinBERT,Sharpe Ratio,1.781,1.776,1.923,1.827,0.068
VGG FinBERT,Total Return (%),32.29,52.67,29.17,38.043,10.421
VGG FinBERT,Max Drawdown (%),-14.59,-13.44,-7.59,-11.873,3.065
VGG FinBERT,Win Rate (%),58.12,57.98,57.41,57.837,0.307
VGG FinBERT,Volatility (%),18.94,24.05,13.41,18.8,4.345
VGG FinBERT,Calmar Ratio,2.214,3.919,3.841,3.325,0.786
VGG FinBERT,Avg Daily Return (%),0.1537,0.1894,0.1221,0.155,0.027
VGG Alpaca,Sharpe Ratio,2.166,2.453,2.81,2.476,0.263
VGG Alpaca,Total Return (%),50.82,45.97,38.83,45.207,4.925
VGG Alpaca,Max Drawdown (%),-12.61,-7.65,-9.77,-10.01,2.032
VGG Alpaca,Win Rate (%),55.84,62.13,59.76,59.243,2.594
VGG Alpaca,Volatility (%),23.2,14.96,16.67,18.277,3.551
VGG Alpaca,Calmar Ratio,4.032,6.007,3.973,4.671,0.945
VGG Alpaca,Avg Daily Return (%),0.2193,0.1655,0.2057,0.197,0.023
Transformer,Sharpe Ratio,1.455,1.799,1.815,1.69,0.166
Transformer,Total Return (%),35.83,28.72,30.09,31.547,3.08
Transformer,Max Drawdown (%),-15.47,-7.56,-7.44,-10.157,3.757
Transformer,Win Rate (%),55.46,60.19,53.24,56.297,2.898
Transformer,Volatility (%),20.29,14.16,14.76,16.403,2.759
Transformer,Calmar Ratio,2.317,3.797,4.046,3.387,0.763
Transformer,Avg Daily Return (%),0.137,0.1209,0.1262,0.128,0.007
